TRANS,DATE,TIME,X_Estimate,Y_Estimate
19,15-May-03,08:30:00 AM,372788.0000,69350.0616
19,15-May-03,08:45:00 AM,372708.1941,69720.0709
19,15-May-03,09:00:00 AM,372513.5905,69930.9289
19,15-May-03,09:15:00 AM,372536.6451,69852.8784
19,15-May-03,09:30:00 AM,372543.6421,69967.5228
19,15-May-03,09:45:00 AM,372252.7164,68972.6557
19,15-May-03,10:00:00 AM,372601.8014,70132.3343
19,15-May-03,10:15:00 AM,372289.4365,70078.4969
19,15-May-03,10:30:00 AM,372083.6483,69822.8510
19,15-May-03,10:45:00 AM,372156.2891,69864.7154
19,15-May-03,11:00:00 AM,372290.2918,70108.3982
19,15-May-03,11:15:00 AM,372498.8025,70506.9192
19,15-May-03,11:30:00 AM,372500.4874,69794.2533
19,15-May-03,11:45:00 AM,372481.0562,69553.5104
19,15-May-03,12:00:00 PM,372551.3841,69634.3162
19,15-May-03,12:15:00 PM,372386.8372,69532.9245
19,15-May-03,12:30:00 PM,372423.8126,69661.5608
19,16-May-03,06:15:00 AM,372784.4689,69878.2839
19,16-May-03,06:30:00 AM,372867.1397,69555.7572
19,16-May-03,07:00:00 AM,372798.5876,69838.3748
19,16-May-03,07:15:00 AM,372743.1397,69889.0201
19,16-May-03,07:30:00 AM,372863.0792,69730.6091
19,16-May-03,07:45:00 AM,372886.7851,69136.8489
19,16-May-03,08:00:00 AM,372579.2565,69956.8873
19,18-May-03,06:30:00 AM,372497.8200,68380.2020
19,18-May-03,06:45:00 AM,372612.8731,69198.8472
19,18-May-03,07:00:00 AM,372678.3687,70143.7304
19,18-May-03,07:15:00 AM,372674.8782,70096.7870
19,18-May-03,07:30:00 AM,372743.4145,69935.3256
19,18-May-03,07:45:00 AM,372710.9749,69958.6225
20,29-Mar-04,06:15:00 AM,344141.6893,74968.1301
20,29-Mar-04,06:30:00 AM,344134.9748,75182.5612
20,29-Mar-04,06:45:00 AM,344076.8048,75016.2638
20,29-Mar-04,07:00:00 AM,344117.1370,75220.8485
20,9-May-04,06:15:00 AM,344244.9673,75212.8113
20,9-May-04,06:30:00 AM,344236.3115,75333.9912
20,9-May-04,06:45:00 AM,344110.2759,75486.8490
20,9-May-04,07:15:00 AM,344271.2675,75607.5069
20,9-May-04,07:30:00 AM,344568.3552,75998.4951
20,9-May-04,08:00:00 AM,344126.8232,75746.8609
20,9-May-04,08:15:00 AM,344143.3569,75435.4149
20,9-May-04,08:30:00 AM,344074.1735,75495.2350
20,9-May-04,08:45:00 AM,344055.5722,75582.4136
20,9-May-04,09:00:00 AM,344084.3702,75525.1471
20,12-May-04,06:30:00 AM,344074.8662,75500.7541
20,12-May-04,06:45:00 AM,344050.5741,75465.5520
20,12-May-04,07:00:00 AM,344149.6174,75512.9394
20,14-May-04,06:15:00 AM,344231.3959,75869.4340
20,14-May-04,06:30:00 AM,343785.6932,76031.4793
