SITE,Bird_ID,DATE,Time_ID,T_intervals,T_minutes,X_Estimate,Y_Estimate
TBS,5,24-Feb-03,11,1,15,372447.4226,70155.3141
TBS,7,28-Jan-03,4,,0,372616.0378,71355.0736
TBS,7,30-Jan-03,2,,0,372497.82,70513.91
TBS,7,30-Jan-03,3,1,15,373134.795,72474.3173
TBS,7,30-Jan-03,6,3,45,372554.9222,68878.717
TBS,7,30-Jan-03,9,3,45,372037.2595,71458.1989
TBS,7,3-Feb-03,4,,0,371168.8667,70090.2429
TBS,7,3-Feb-03,6,2,30,371374.0266,70016.3039
TBS,7,18-Feb-03,7,,0,372614.2245,70647.8181
TBS,7,20-Feb-03,7,,0,372593.3922,70661.0783
TBS,7,24-Feb-03,1,,0,373334.0476,71684.9255
TBS,7,24-Feb-03,2,1,15,372901.2549,71078.511
TBS,7,24-Feb-03,3,1,15,372686.8378,70709.5404
TBS,7,24-Feb-03,4,1,15,372844.7824,70848.9677
TBS,7,24-Feb-03,5,1,15,372831.3603,70960.9904
TBS,7,24-Feb-03,6,1,15,372696.8029,70984.179
TBS,7,24-Feb-03,7,1,15,372709.1274,71108.6851
TBS,7,24-Feb-03,8,1,15,372802.2889,70546.6107
TBS,7,24-Feb-03,9,1,15,372759.4817,71053.104
TBS,7,24-Feb-03,10,1,15,372824.4949,71242.7407
TBS,7,24-Feb-03,11,1,15,372489.4895,70676.6457
TBS,7,6-Mar-03,1,,0,372949.9161,72510.7289
TBS,7,6-Mar-03,2,1,15,372518.8827,70613.0022
TBS,7,6-Mar-03,3,1,15,372849.2603,70890.8013
TBS,7,6-Mar-03,4,1,15,372808.091,71595.9536
TBS,7,6-Mar-03,5,1,15,372597.5413,70725.7625
TBS,7,6-Mar-03,6,1,15,372575.0362,70599.6673
TBS,7,6-Mar-03,7,1,15,372640.8498,70642.9205
TBS,7,6-Mar-03,8,1,15,372781.3937,70520.4502
TBS,7,7-Mar-03,1,,0,372659.6173,70774.6172
TBS,7,7-Mar-03,2,1,15,373008.1306,70989.7823
TBS,7,7-Mar-03,3,1,15,372740.1887,70748.6363
TBS,7,7-Mar-03,4,1,15,372889.4431,71855.0388
TBS,7,7-Mar-03,5,1,15,372496.601,71048.9315
TBS,7,7-Mar-03,8,3,45,372535.1706,70725.7355
TBS,7,7-Mar-03,11,3,45,372483.0637,70607.0775
TBS,7,14-Mar-03,1,,0,372712.9345,70832.8304
TBS,7,14-Mar-03,2,1,15,372649.4771,70715.1657
TBS,7,14-Mar-03,3,1,15,372728.2071,70947.2052
TBS,7,14-Mar-03,5,2,30,372721.6398,70800.3863
TBS,7,14-Mar-03,6,1,15,372669.4995,70685.5895
TBS,7,16-Mar-03,3,,0,372484.4672,71278.8894
TBS,7,18-May-03,1,,0,372663.3127,70945.0333
TBS,7,18-May-03,2,1,15,372651.0005,70893.0451
TBS,7,18-May-03,4,2,30,372870.2082,70774.659
TBS,7,18-May-03,5,1,15,372892.5182,71037.6922
TBS,7,18-May-03,6,1,15,372898.1209,70621.1703
TBS,7,18-May-03,7,1,15,372695.0747,70605.8914
TBS,7,27-May-03,2,,0,372961.0068,70457.0378
TBS,7,27-May-03,4,2,30,372968.5093,70675.9813
TBS,7,27-May-03,5,1,15,372960.2663,70710.2068
TBS,7,27-May-03,6,1,15,372712.7221,70799.0947
TBS,7,27-May-03,7,1,15,372756.6517,70648.0606
